title,line number,line,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet LXV,5,"Against the wreckful siege of battering days,","('against', 'the', 'wreckful', 'siege', 'of', 'battering', 'days', ',')","('against', 'the', 'wreckful', 'siege', 'of', 'battering', 'days', '')","(('against', 2), ('the', 1), ('wreckful', None), ('siege', 1), ('of', 1), ('battering', 3), ('days', 1), (',', 0))","(('against', 2), ('the', 1), ('wreckful', None), ('siege', 1), ('of', 1), ('battering', 3), ('days', 1), ('', None))"
Sonnet LXV,6,"When rocks impregnable are not so stout,","('when', 'rocks', 'impregnable', 'are', 'not', 'so', 'stout', ',')","('when', 'rocks', 'impregnable', 'are', 'not', 'so', 'stout', '')","(('when', 1), ('rocks', 1), ('impregnable', 4), ('are', 1), ('not', 1), ('so', 1), ('stout', 1), (',', 0))","(('when', 1), ('rocks', 1), ('impregnable', 4), ('are', 1), ('not', 1), ('so', 1), ('stout', 1), ('', None))"
Sonnet LXV,7,"Nor gates of steel so strong, but Time decays?","('nor', 'gates', 'of', 'steel', 'so', 'strong', ',', 'but', 'time', 'decays', '?')","('nor', 'gates', 'of', 'steel', 'so', 'strong', '', 'but', 'time', 'decays?')","(('nor', 1), ('gates', 1), ('of', 1), ('steel', 1), ('so', 1), ('strong', 1), (',', 0), ('but', 1), ('time', 1), ('decays', 2), ('?', None))","(('nor', 1), ('gates', 1), ('of', 1), ('steel', 1), ('so', 1), ('strong', 1), ('', None), ('but', 1), ('time', 1), ('decays?', None))"
Sonnet LXV,8,"O fearful meditation! where, alack,","('o', 'fearful', 'meditation', '!', 'where', ',', 'alack', ',')","('o', 'fearful', 'meditation!', 'where', '', 'alack', '')","(('o', 1), ('fearful', 2), ('meditation', 4), ('!', 0), ('where', 1), (',', 0), ('alack', None), (',', 0))","(('o', 1), ('fearful', 2), ('meditation!', None), ('where', 1), ('', None), ('alack', None), ('', None))"
Sonnet LXV,9,Shall Time's best jewel from Time's chest lie hid?,"('shall', ""time's"", 'best', 'jewel', 'from', ""time's"", 'chest', 'lie', 'hid', '?')","('shall', ""time's"", 'best', 'jewel', 'from', ""time's"", 'chest', 'lie', 'hid?')","(('shall', 1), (""time's"", 1), ('best', 1), ('jewel', 2), ('from', 1), (""time's"", 1), ('chest', 1), ('lie', 1), ('hid', 1), ('?', None))","(('shall', 1), (""time's"", 1), ('best', 1), ('jewel', 2), ('from', 1), (""time's"", 1), ('chest', 1), ('lie', 1), ('hid?', None))"
Sonnet LXV,10,Or what strong hand can hold his swift foot back?,"('or', 'what', 'strong', 'hand', 'can', 'hold', 'his', 'swift', 'foot', 'back', '?')","('or', 'what', 'strong', 'hand', 'can', 'hold', 'his', 'swift', 'foot', 'back?')","(('or', 1), ('what', 1), ('strong', 1), ('hand', 1), ('can', 1), ('hold', 1), ('his', 1), ('swift', 1), ('foot', 1), ('back', 1), ('?', None))","(('or', 1), ('what', 1), ('strong', 1), ('hand', 1), ('can', 1), ('hold', 1), ('his', 1), ('swift', 1), ('foot', 1), ('back?', None))"
Sonnet LXV,11,Or who his spoil of beauty can forbid?,"('or', 'who', 'his', 'spoil', 'of', 'beauty', 'can', 'forbid', '?')","('or', 'who', 'his', 'spoil', 'of', 'beauty', 'can', 'forbid?')","(('or', 1), ('who', 1), ('his', 1), ('spoil', 1), ('of', 1), ('beauty', 2), ('can', 1), ('forbid', 2), ('?', None))","(('or', 1), ('who', 1), ('his', 1), ('spoil', 1), ('of', 1), ('beauty', 2), ('can', 1), ('forbid?', None))"
Sonnet LXV,12,"  O, none, unless this miracle have might,","('o', ',', 'none', ',', 'unless', 'this', 'miracle', 'have', 'might', ',')","('', '', 'o', '', 'none', '', 'unless', 'this', 'miracle', 'have', 'might', '')","(('o', 1), (',', 0), ('none', 1), (',', 0), ('unless', 2), ('this', 1), ('miracle', 3), ('have', 1), ('might', 1), (',', 0))","(('', None), ('', None), ('o', 1), ('', None), ('none', 1), ('', None), ('unless', 2), ('this', 1), ('miracle', 3), ('have', 1), ('might', 1), ('', None))"
Sonnet LXV,13,  That in black ink my love may still shine bright.,"('that', 'in', 'black', 'ink', 'my', 'love', 'may', 'still', 'shine', 'bright', '.')","('', '', 'that', 'in', 'black', 'ink', 'my', 'love', 'may', 'still', 'shine', 'bright', '')","(('that', 1), ('in', 1), ('black', 1), ('ink', 1), ('my', 1), ('love', 1), ('may', 1), ('still', 1), ('shine', 1), ('bright', 1), ('.', 0))","(('', None), ('', None), ('that', 1), ('in', 1), ('black', 1), ('ink', 1), ('my', 1), ('love', 1), ('may', 1), ('still', 1), ('shine', 1), ('bright', 1), ('', None))"
Sonnet LXVI,0,"Tired with all these, for restful death I cry,","('tired', 'with', 'all', 'these', ',', 'for', 'restful', 'death', 'i', 'cry', ',')","('tired', 'with', 'all', 'these', '', 'for', 'restful', 'death', 'i', 'cry', '')","(('tired', 2), ('with', 1), ('all', 1), ('these', 1), (',', 0), ('for', 1), ('restful', 2), ('death', 1), ('i', 1), ('cry', 1), (',', 0))","(('tired', 2), ('with', 1), ('all', 1), ('these', 1), ('', None), ('for', 1), ('restful', 2), ('death', 1), ('i', 1), ('cry', 1), ('', None))"
Sonnet LXVI,1,"As, to behold desert a beggar born,","('as', ',', 'to', 'behold', 'desert', 'a', 'beggar', 'born', ',')","('as', '', 'to', 'behold', 'desert', 'a', 'beggar', 'born', '')","(('as', 1), (',', 0), ('to', 1), ('behold', 2), ('desert', 2), ('a', 1), ('beggar', 2), ('born', 1), (',', 0))","(('as', 1), ('', None), ('to', 1), ('behold', 2), ('desert', 2), ('a', 1), ('beggar', 2), ('born', 1), ('', None))"
Sonnet LXVI,2,"And needy nothing trimm'd in jollity,","('and', 'needy', 'nothing', ""trimm'd"", 'in', 'jollity', ',')","('and', 'needy', 'nothing', ""trimm'd"", 'in', 'jollity', '')","(('and', 1), ('needy', 2), ('nothing', 2), (""trimm'd"", None), ('in', 1), ('jollity', None), (',', 0))","(('and', 1), ('needy', 2), ('nothing', 2), (""trimm'd"", None), ('in', 1), ('jollity', None), ('', None))"
Sonnet LXVI,3,"And purest faith unhappily forsworn,","('and', 'purest', 'faith', 'unhappily', 'forsworn', ',')","('and', 'purest', 'faith', 'unhappily', 'forsworn', '')","(('and', 1), ('purest', 2), ('faith', 1), ('unhappily', 4), ('forsworn', 2), (',', 0))","(('and', 1), ('purest', 2), ('faith', 1), ('unhappily', 4), ('forsworn', 2), ('', None))"
Sonnet LXVI,4,"And guilded honour shamefully misplaced,","('and', 'guilded', 'honour', 'shamefully', 'misplaced', ',')","('and', 'guilded', 'honour', 'shamefully', 'misplaced', '')","(('and', 1), ('guilded', None), ('honour', 2), ('shamefully', None), ('misplaced', 2), (',', 0))","(('and', 1), ('guilded', None), ('honour', 2), ('shamefully', None), ('misplaced', 2), ('', None))"
Sonnet LXVI,5,"And maiden virtue rudely strumpeted,","('and', 'maiden', 'virtue', 'rudely', 'strumpeted', ',')","('and', 'maiden', 'virtue', 'rudely', 'strumpeted', '')","(('and', 1), ('maiden', 2), ('virtue', 2), ('rudely', 2), ('strumpeted', None), (',', 0))","(('and', 1), ('maiden', 2), ('virtue', 2), ('rudely', 2), ('strumpeted', None), ('', None))"
Sonnet LXVI,6,"And right perfection wrongfully disgraced,","('and', 'right', 'perfection', 'wrongfully', 'disgraced', ',')","('and', 'right', 'perfection', 'wrongfully', 'disgraced', '')","(('and', 1), ('right', 1), ('perfection', 3), ('wrongfully', 3), ('disgraced', 2), (',', 0))","(('and', 1), ('right', 1), ('perfection', 3), ('wrongfully', 3), ('disgraced', 2), ('', None))"
Sonnet LXVI,7,"And strength by limping sway disabled,","('and', 'strength', 'by', 'limping', 'sway', 'disabled', ',')","('and', 'strength', 'by', 'limping', 'sway', 'disabled', '')","(('and', 1), ('strength', 1), ('by', 1), ('limping', 2), ('sway', 1), ('disabled', 3), (',', 0))","(('and', 1), ('strength', 1), ('by', 1), ('limping', 2), ('sway', 1), ('disabled', 3), ('', None))"
Sonnet LXVI,8,"And art made tongue-tied by authority,","('and', 'art', 'made', 'tongue', '-', 'tied', 'by', 'authority', ',')","('and', 'art', 'made', 'tongue', 'tied', 'by', 'authority', '')","(('and', 1), ('art', 1), ('made', 1), ('tongue', 1), ('-', 0), ('tied', 1), ('by', 1), ('authority', 4), (',', 0))","(('and', 1), ('art', 1), ('made', 1), ('tongue', 1), ('tied', 1), ('by', 1), ('authority', 4), ('', None))"
Sonnet LXVI,9,"And folly doctor-like controlling skill,","('and', 'folly', 'doctor', '-', 'like', 'controlling', 'skill', ',')","('and', 'folly', 'doctor', 'like', 'controlling', 'skill', '')","(('and', 1), ('folly', 2), ('doctor', 2), ('-', 0), ('like', 1), ('controlling', 3), ('skill', 1), (',', 0))","(('and', 1), ('folly', 2), ('doctor', 2), ('like', 1), ('controlling', 3), ('skill', 1), ('', None))"
Sonnet LXVI,10,"And simple truth miscall'd simplicity,","('and', 'simple', 'truth', ""miscall'd"", 'simplicity', ',')","('and', 'simple', 'truth', ""miscall'd"", 'simplicity', '')","(('and', 1), ('simple', 2), ('truth', 1), (""miscall'd"", None), ('simplicity', 4), (',', 0))","(('and', 1), ('simple', 2), ('truth', 1), (""miscall'd"", None), ('simplicity', 4), ('', None))"
Sonnet LXVI,11,And captive good attending captain ill:,"('and', 'captive', 'good', 'attending', 'captain', 'ill', ':')","('and', 'captive', 'good', 'attending', 'captain', 'ill', '')","(('and', 1), ('captive', 2), ('good', 1), ('attending', 3), ('captain', 2), ('ill', 1), (':', None))","(('and', 1), ('captive', 2), ('good', 1), ('attending', 3), ('captain', 2), ('ill', 1), ('', None))"
Sonnet LXVI,12,"  Tired with all these, from these would I be gone,","('tired', 'with', 'all', 'these', ',', 'from', 'these', 'would', 'i', 'be', 'gone', ',')","('', '', 'tired', 'with', 'all', 'these', '', 'from', 'these', 'would', 'i', 'be', 'gone', '')","(('tired', 2), ('with', 1), ('all', 1), ('these', 1), (',', 0), ('from', 1), ('these', 1), ('would', 1), ('i', 1), ('be', 1), ('gone', 1), (',', 0))","(('', None), ('', None), ('tired', 2), ('with', 1), ('all', 1), ('these', 1), ('', None), ('from', 1), ('these', 1), ('would', 1), ('i', 1), ('be', 1), ('gone', 1), ('', None))"
Sonnet LXVI,13,"  Save that, to die, I leave my love alone.","('save', 'that', ',', 'to', 'die', ',', 'i', 'leave', 'my', 'love', 'alone', '.')","('', '', 'save', 'that', '', 'to', 'die', '', 'i', 'leave', 'my', 'love', 'alone', '')","(('save', 1), ('that', 1), (',', 0), ('to', 1), ('die', 1), (',', 0), ('i', 1), ('leave', 1), ('my', 1), ('love', 1), ('alone', 2), ('.', 0))","(('', None), ('', None), ('save', 1), ('that', 1), ('', None), ('to', 1), ('die', 1), ('', None), ('i', 1), ('leave', 1), ('my', 1), ('love', 1), ('alone', 2), ('', None))"
Sonnet LXVII,0,"Ah! wherefore with infection should he live,","('ah', '!', 'wherefore', 'with', 'infection', 'should', 'he', 'live', ',')","('ah!', 'wherefore', 'with', 'infection', 'should', 'he', 'live', '')","(('ah', 1), ('!', 0), ('wherefore', 2), ('with', 1), ('infection', 3), ('should', 1), ('he', 1), ('live', 1), (',', 0))","(('ah!', None), ('wherefore', 2), ('with', 1), ('infection', 3), ('should', 1), ('he', 1), ('live', 1), ('', None))"
Sonnet LXVII,1,"And with his presence grace impiety,","('and', 'with', 'his', 'presence', 'grace', 'impiety', ',')","('and', 'with', 'his', 'presence', 'grace', 'impiety', '')","(('and', 1), ('with', 1), ('his', 1), ('presence', 2), ('grace', 1), ('impiety', None), (',', 0))","(('and', 1), ('with', 1), ('his', 1), ('presence', 2), ('grace', 1), ('impiety', None), ('', None))"
Sonnet LXVII,2,That sin by him advantage should achieve,"('that', 'sin', 'by', 'him', 'advantage', 'should', 'achieve')","('that', 'sin', 'by', 'him', 'advantage', 'should', 'achieve')","(('that', 1), ('sin', 1), ('by', 1), ('him', 1), ('advantage', 3), ('should', 1), ('achieve', 2))","(('that', 1), ('sin', 1), ('by', 1), ('him', 1), ('advantage', 3), ('should', 1), ('achieve', 2))"
Sonnet LXVII,3,And lace itself with his society?,"('and', 'lace', 'itself', 'with', 'his', 'society', '?')","('and', 'lace', 'itself', 'with', 'his', 'society?')","(('and', 1), ('lace', 1), ('itself', 2), ('with', 1), ('his', 1), ('society', 4), ('?', None))","(('and', 1), ('lace', 1), ('itself', 2), ('with', 1), ('his', 1), ('society?', None))"
Sonnet LXVII,4,Why should false painting imitate his cheek,"('why', 'should', 'false', 'painting', 'imitate', 'his', 'cheek')","('why', 'should', 'false', 'painting', 'imitate', 'his', 'cheek')","(('why', 1), ('should', 1), ('false', 1), ('painting', 2), ('imitate', 3), ('his', 1), ('cheek', 1))","(('why', 1), ('should', 1), ('false', 1), ('painting', 2), ('imitate', 3), ('his', 1), ('cheek', 1))"
Sonnet LXVII,5,And steal dead seeing of his living hue?,"('and', 'steal', 'dead', 'seeing', 'of', 'his', 'living', 'hue', '?')","('and', 'steal', 'dead', 'seeing', 'of', 'his', 'living', 'hue?')","(('and', 1), ('steal', 1), ('dead', 1), ('seeing', 2), ('of', 1), ('his', 1), ('living', 2), ('hue', 1), ('?', None))","(('and', 1), ('steal', 1), ('dead', 1), ('seeing', 2), ('of', 1), ('his', 1), ('living', 2), ('hue?', None))"
Sonnet LXVII,6,Why should poor beauty indirectly seek,"('why', 'should', 'poor', 'beauty', 'indirectly', 'seek')","('why', 'should', 'poor', 'beauty', 'indirectly', 'seek')","(('why', 1), ('should', 1), ('poor', 1), ('beauty', 2), ('indirectly', 4), ('seek', 1))","(('why', 1), ('should', 1), ('poor', 1), ('beauty', 2), ('indirectly', 4), ('seek', 1))"
Sonnet LXVII,7,"Roses of shadow, since his rose is true?","('roses', 'of', 'shadow', ',', 'since', 'his', 'rose', 'is', 'true', '?')","('roses', 'of', 'shadow', '', 'since', 'his', 'rose', 'is', 'true?')","(('roses', 2), ('of', 1), ('shadow', 2), (',', 0), ('since', 1), ('his', 1), ('rose', 1), ('is', 1), ('true', 1), ('?', None))","(('roses', 2), ('of', 1), ('shadow', 2), ('', None), ('since', 1), ('his', 1), ('rose', 1), ('is', 1), ('true?', None))"
Sonnet LXVII,8,"Why should he live, now Nature bankrupt is,","('why', 'should', 'he', 'live', ',', 'now', 'nature', 'bankrupt', 'is', ',')","('why', 'should', 'he', 'live', '', 'now', 'nature', 'bankrupt', 'is', '')","(('why', 1), ('should', 1), ('he', 1), ('live', 1), (',', 0), ('now', 1), ('nature', 2), ('bankrupt', 2), ('is', 1), (',', 0))","(('why', 1), ('should', 1), ('he', 1), ('live', 1), ('', None), ('now', 1), ('nature', 2), ('bankrupt', 2), ('is', 1), ('', None))"
Sonnet LXVII,9,Beggar'd of blood to blush through lively veins?,"(""beggar'd"", 'of', 'blood', 'to', 'blush', 'through', 'lively', 'veins', '?')","(""beggar'd"", 'of', 'blood', 'to', 'blush', 'through', 'lively', 'veins?')","((""beggar'd"", None), ('of', 1), ('blood', 1), ('to', 1), ('blush', 1), ('through', 1), ('lively', 2), ('veins', 1), ('?', None))","((""beggar'd"", None), ('of', 1), ('blood', 1), ('to', 1), ('blush', 1), ('through', 1), ('lively', 2), ('veins?', None))"
Sonnet LXVII,10,"For she hath no exchequer now but his,","('for', 'she', 'hath', 'no', 'exchequer', 'now', 'but', 'his', ',')","('for', 'she', 'hath', 'no', 'exchequer', 'now', 'but', 'his', '')","(('for', 1), ('she', 1), ('hath', 1), ('no', 1), ('exchequer', 3), ('now', 1), ('but', 1), ('his', 1), (',', 0))","(('for', 1), ('she', 1), ('hath', 1), ('no', 1), ('exchequer', 3), ('now', 1), ('but', 1), ('his', 1), ('', None))"
Sonnet LXVII,11,"And, proud of many, lives upon his gains.","('and', ',', 'proud', 'of', 'many', ',', 'lives', 'upon', 'his', 'gains', '.')","('and', '', 'proud', 'of', 'many', '', 'lives', 'upon', 'his', 'gains', '')","(('and', 1), (',', 0), ('proud', 1), ('of', 1), ('many', 2), (',', 0), ('lives', 1), ('upon', 2), ('his', 1), ('gains', 1), ('.', 0))","(('and', 1), ('', None), ('proud', 1), ('of', 1), ('many', 2), ('', None), ('lives', 1), ('upon', 2), ('his', 1), ('gains', 1), ('', None))"
Sonnet LXVII,12,"  O, him she stores, to show what wealth she had","('o', ',', 'him', 'she', 'stores', ',', 'to', 'show', 'what', 'wealth', 'she', 'had')","('', '', 'o', '', 'him', 'she', 'stores', '', 'to', 'show', 'what', 'wealth', 'she', 'had')","(('o', 1), (',', 0), ('him', 1), ('she', 1), ('stores', 1), (',', 0), ('to', 1), ('show', 1), ('what', 1), ('wealth', 1), ('she', 1), ('had', 1))","(('', None), ('', None), ('o', 1), ('', None), ('him', 1), ('she', 1), ('stores', 1), ('', None), ('to', 1), ('show', 1), ('what', 1), ('wealth', 1), ('she', 1), ('had', 1))"
Sonnet LXVII,13,"  In days long since, before these last so bad.","('in', 'days', 'long', 'since', ',', 'before', 'these', 'last', 'so', 'bad', '.')","('', '', 'in', 'days', 'long', 'since', '', 'before', 'these', 'last', 'so', 'bad', '')","(('in', 1), ('days', 1), ('long', 1), ('since', 1), (',', 0), ('before', 2), ('these', 1), ('last', 1), ('so', 1), ('bad', 1), ('.', 0))","(('', None), ('', None), ('in', 1), ('days', 1), ('long', 1), ('since', 1), ('', None), ('before', 2), ('these', 1), ('last', 1), ('so', 1), ('bad', 1), ('', None))"
Sonnet LXVIII,0,"Thus is his cheek the map of days outworn,","('thus', 'is', 'his', 'cheek', 'the', 'map', 'of', 'days', 'outworn', ',')","('thus', 'is', 'his', 'cheek', 'the', 'map', 'of', 'days', 'outworn', '')","(('thus', 1), ('is', 1), ('his', 1), ('cheek', 1), ('the', 1), ('map', 1), ('of', 1), ('days', 1), ('outworn', None), (',', 0))","(('thus', 1), ('is', 1), ('his', 1), ('cheek', 1), ('the', 1), ('map', 1), ('of', 1), ('days', 1), ('outworn', None), ('', None))"
Sonnet LXVIII,1,"When beauty lived and died as flowers do now,","('when', 'beauty', 'lived', 'and', 'died', 'as', 'flowers', 'do', 'now', ',')","('when', 'beauty', 'lived', 'and', 'died', 'as', 'flowers', 'do', 'now', '')","(('when', 1), ('beauty', 2), ('lived', 1), ('and', 1), ('died', 1), ('as', 1), ('flowers', 2), ('do', 1), ('now', 1), (',', 0))","(('when', 1), ('beauty', 2), ('lived', 1), ('and', 1), ('died', 1), ('as', 1), ('flowers', 2), ('do', 1), ('now', 1), ('', None))"
Sonnet LXVIII,2,"Before the bastard signs of fair were born,","('before', 'the', 'bastard', 'signs', 'of', 'fair', 'were', 'born', ',')","('before', 'the', 'bastard', 'signs', 'of', 'fair', 'were', 'born', '')","(('before', 2), ('the', 1), ('bastard', 2), ('signs', 1), ('of', 1), ('fair', 1), ('were', 1), ('born', 1), (',', 0))","(('before', 2), ('the', 1), ('bastard', 2), ('signs', 1), ('of', 1), ('fair', 1), ('were', 1), ('born', 1), ('', None))"
Sonnet LXVIII,3,Or durst inhabit on a living brow;,"('or', 'durst', 'inhabit', 'on', 'a', 'living', 'brow', ';')","('or', 'durst', 'inhabit', 'on', 'a', 'living', 'brow;')","(('or', 1), ('durst', 1), ('inhabit', 3), ('on', 1), ('a', 1), ('living', 2), ('brow', 1), (';', 0))","(('or', 1), ('durst', 1), ('inhabit', 3), ('on', 1), ('a', 1), ('living', 2), ('brow;', None))"
Sonnet LXVIII,4,"Before the golden tresses of the dead,","('before', 'the', 'golden', 'tresses', 'of', 'the', 'dead', ',')","('before', 'the', 'golden', 'tresses', 'of', 'the', 'dead', '')","(('before', 2), ('the', 1), ('golden', 2), ('tresses', 2), ('of', 1), ('the', 1), ('dead', 1), (',', 0))","(('before', 2), ('the', 1), ('golden', 2), ('tresses', 2), ('of', 1), ('the', 1), ('dead', 1), ('', None))"
Sonnet LXVIII,5,"The right of sepulchres, were shorn away,","('the', 'right', 'of', 'sepulchres', ',', 'were', 'shorn', 'away', ',')","('the', 'right', 'of', 'sepulchres', '', 'were', 'shorn', 'away', '')","(('the', 1), ('right', 1), ('of', 1), ('sepulchres', None), (',', 0), ('were', 1), ('shorn', 1), ('away', 2), (',', 0))","(('the', 1), ('right', 1), ('of', 1), ('sepulchres', None), ('', None), ('were', 1), ('shorn', 1), ('away', 2), ('', None))"
Sonnet LXVIII,6,To live a second life on second head;,"('to', 'live', 'a', 'second', 'life', 'on', 'second', 'head', ';')","('to', 'live', 'a', 'second', 'life', 'on', 'second', 'head;')","(('to', 1), ('live', 1), ('a', 1), ('second', 2), ('life', 1), ('on', 1), ('second', 2), ('head', 1), (';', 0))","(('to', 1), ('live', 1), ('a', 1), ('second', 2), ('life', 1), ('on', 1), ('second', 2), ('head;', None))"
Sonnet LXVIII,7,Ere beauty's dead fleece made another gay:,"('ere', ""beauty's"", 'dead', 'fleece', 'made', 'another', 'gay', ':')","('ere', ""beauty's"", 'dead', 'fleece', 'made', 'another', 'gay', '')","(('ere', 1), (""beauty's"", None), ('dead', 1), ('fleece', 1), ('made', 1), ('another', 3), ('gay', 1), (':', None))","(('ere', 1), (""beauty's"", None), ('dead', 1), ('fleece', 1), ('made', 1), ('another', 3), ('gay', 1), ('', None))"
Sonnet LXVIII,8,"In him those holy antique hours are seen,","('in', 'him', 'those', 'holy', 'antique', 'hours', 'are', 'seen', ',')","('in', 'him', 'those', 'holy', 'antique', 'hours', 'are', 'seen', '')","(('in', 1), ('him', 1), ('those', 1), ('holy', 2), ('antique', 2), ('hours', 2), ('are', 1), ('seen', 1), (',', 0))","(('in', 1), ('him', 1), ('those', 1), ('holy', 2), ('antique', 2), ('hours', 2), ('are', 1), ('seen', 1), ('', None))"
Sonnet LXVIII,9,"Without all ornament, itself and true,","('without', 'all', 'ornament', ',', 'itself', 'and', 'true', ',')","('without', 'all', 'ornament', '', 'itself', 'and', 'true', '')","(('without', 2), ('all', 1), ('ornament', 3), (',', 0), ('itself', 2), ('and', 1), ('true', 1), (',', 0))","(('without', 2), ('all', 1), ('ornament', 3), ('', None), ('itself', 2), ('and', 1), ('true', 1), ('', None))"
Sonnet LXVIII,10,"Making no summer of another's green,","('making', 'no', 'summer', 'of', ""another's"", 'green', ',')","('making', 'no', 'summer', 'of', ""another's"", 'green', '')","(('making', 2), ('no', 1), ('summer', 2), ('of', 1), (""another's"", 3), ('green', 1), (',', 0))","(('making', 2), ('no', 1), ('summer', 2), ('of', 1), (""another's"", 3), ('green', 1), ('', None))"
Sonnet LXVIII,11,Robbing no old to dress his beauty new;,"('robbing', 'no', 'old', 'to', 'dress', 'his', 'beauty', 'new', ';')","('robbing', 'no', 'old', 'to', 'dress', 'his', 'beauty', 'new;')","(('robbing', 2), ('no', 1), ('old', 1), ('to', 1), ('dress', 1), ('his', 1), ('beauty', 2), ('new', 1), (';', 0))","(('robbing', 2), ('no', 1), ('old', 1), ('to', 1), ('dress', 1), ('his', 1), ('beauty', 2), ('new;', None))"
Sonnet LXVIII,12,"  And him as for a map doth Nature store,","('and', 'him', 'as', 'for', 'a', 'map', 'doth', 'nature', 'store', ',')","('', '', 'and', 'him', 'as', 'for', 'a', 'map', 'doth', 'nature', 'store', '')","(('and', 1), ('him', 1), ('as', 1), ('for', 1), ('a', 1), ('map', 1), ('doth', 1), ('nature', 2), ('store', 1), (',', 0))","(('', None), ('', None), ('and', 1), ('him', 1), ('as', 1), ('for', 1), ('a', 1), ('map', 1), ('doth', 1), ('nature', 2), ('store', 1), ('', None))"
Sonnet LXVIII,13,  To show false Art what beauty was of yore.,"('to', 'show', 'false', 'art', 'what', 'beauty', 'was', 'of', 'yore', '.')","('', '', 'to', 'show', 'false', 'art', 'what', 'beauty', 'was', 'of', 'yore', '')","(('to', 1), ('show', 1), ('false', 1), ('art', 1), ('what', 1), ('beauty', 2), ('was', 1), ('of', 1), ('yore', 1), ('.', 0))","(('', None), ('', None), ('to', 1), ('show', 1), ('false', 1), ('art', 1), ('what', 1), ('beauty', 2), ('was', 1), ('of', 1), ('yore', 1), ('', None))"
Sonnet LXIX,0,Those parts of thee that the world's eye doth view,"('those', 'parts', 'of', 'thee', 'that', 'the', ""world's"", 'eye', 'doth', 'view')","('those', 'parts', 'of', 'thee', 'that', 'the', ""world's"", 'eye', 'doth', 'view')","(('those', 1), ('parts', 1), ('of', 1), ('thee', 1), ('that', 1), ('the', 1), (""world's"", 1), ('eye', 1), ('doth', 1), ('view', 1))","(('those', 1), ('parts', 1), ('of', 1), ('thee', 1), ('that', 1), ('the', 1), (""world's"", 1), ('eye', 1), ('doth', 1), ('view', 1))"
Sonnet LXIX,1,Want nothing that the thought of hearts can mend;,"('want', 'nothing', 'that', 'the', 'thought', 'of', 'hearts', 'can', 'mend', ';')","('want', 'nothing', 'that', 'the', 'thought', 'of', 'hearts', 'can', 'mend;')","(('want', 1), ('nothing', 2), ('that', 1), ('the', 1), ('thought', 1), ('of', 1), ('hearts', 1), ('can', 1), ('mend', 1), (';', 0))","(('want', 1), ('nothing', 2), ('that', 1), ('the', 1), ('thought', 1), ('of', 1), ('hearts', 1), ('can', 1), ('mend;', None))"
Sonnet LXIX,2,"All tongues, the voice of souls, give thee that due,","('all', 'tongues', ',', 'the', 'voice', 'of', 'souls', ',', 'give', 'thee', 'that', 'due', ',')","('all', 'tongues', '', 'the', 'voice', 'of', 'souls', '', 'give', 'thee', 'that', 'due', '')","(('all', 1), ('tongues', 1), (',', 0), ('the', 1), ('voice', 1), ('of', 1), ('souls', 1), (',', 0), ('give', 1), ('thee', 1), ('that', 1), ('due', 1), (',', 0))","(('all', 1), ('tongues', 1), ('', None), ('the', 1), ('voice', 1), ('of', 1), ('souls', 1), ('', None), ('give', 1), ('thee', 1), ('that', 1), ('due', 1), ('', None))"
Sonnet LXIX,3,"Uttering bare truth, even so as foes commend.","('uttering', 'bare', 'truth', ',', 'even', 'so', 'as', 'foes', 'commend', '.')","('uttering', 'bare', 'truth', '', 'even', 'so', 'as', 'foes', 'commend', '')","(('uttering', 3), ('bare', 1), ('truth', 1), (',', 0), ('even', 2), ('so', 1), ('as', 1), ('foes', 1), ('commend', 2), ('.', 0))","(('uttering', 3), ('bare', 1), ('truth', 1), ('', None), ('even', 2), ('so', 1), ('as', 1), ('foes', 1), ('commend', 2), ('', None))"
Sonnet LXIX,4,Thy outward thus with outward praise is crown'd;,"('thy', 'outward', 'thus', 'with', 'outward', 'praise', 'is', ""crown'd"", ';')","('thy', 'outward', 'thus', 'with', 'outward', 'praise', 'is', ""crown'd;"")","(('thy', 1), ('outward', 2), ('thus', 1), ('with', 1), ('outward', 2), ('praise', 1), ('is', 1), (""crown'd"", None), (';', 0))","(('thy', 1), ('outward', 2), ('thus', 1), ('with', 1), ('outward', 2), ('praise', 1), ('is', 1), (""crown'd;"", None))"
Sonnet LXIX,5,But those same tongues that give thee so thine own,"('but', 'those', 'same', 'tongues', 'that', 'give', 'thee', 'so', 'thine', 'own')","('but', 'those', 'same', 'tongues', 'that', 'give', 'thee', 'so', 'thine', 'own')","(('but', 1), ('those', 1), ('same', 1), ('tongues', 1), ('that', 1), ('give', 1), ('thee', 1), ('so', 1), ('thine', 1), ('own', 1))","(('but', 1), ('those', 1), ('same', 1), ('tongues', 1), ('that', 1), ('give', 1), ('thee', 1), ('so', 1), ('thine', 1), ('own', 1))"
Sonnet LXIX,6,In other accents do this praise confound,"('in', 'other', 'accents', 'do', 'this', 'praise', 'confound')","('in', 'other', 'accents', 'do', 'this', 'praise', 'confound')","(('in', 1), ('other', 2), ('accents', 2), ('do', 1), ('this', 1), ('praise', 1), ('confound', 2))","(('in', 1), ('other', 2), ('accents', 2), ('do', 1), ('this', 1), ('praise', 1), ('confound', 2))"
