previous_word,one_word,one_word_next,two_word,two_word_next,three_gram,three_word_next
"('this', 1)","('abundant', 3)","('issue', 2)","(('abundant', 'issue'), None)","(""seem'd"", None)","(('abundant', 'issue', ""seem'd""), None)","('to', 1)"
"('abundant', 3)","('issue', 2)","(""seem'd"", None)","(('issue', ""seem'd""), None)","('to', 1)","(('issue', ""seem'd"", 'to'), None)","('me', 1)"
"('issue', 2)","(""seem'd"", None)","('to', 1)","((""seem'd"", 'to'), None)","('me', 1)","((""seem'd"", 'to', 'me'), None)","('\n', 0)"
"(""seem'd"", None)","('to', 1)","('me', 1)","(('to', 'me'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('to', 1)","('me', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('but', 1)","('hope', 1)","(('but', 'hope'), None)","('of', 1)","(('but', 'hope', 'of'), None)","('orphans', 2)"
"('but', 1)","('hope', 1)","('of', 1)","(('hope', 'of'), None)","('orphans', 2)","(('hope', 'of', 'orphans'), None)","('and', 1)"
"('hope', 1)","('of', 1)","('orphans', 2)","(('of', 'orphans'), None)","('and', 1)","(('of', 'orphans', 'and'), None)","(""unfather'd"", None)"
"('of', 1)","('orphans', 2)","('and', 1)","(('orphans', 'and'), None)","(""unfather'd"", None)","(('orphans', 'and', ""unfather'd""), None)","('fruit', 1)"
"('orphans', 2)","('and', 1)","(""unfather'd"", None)","(('and', ""unfather'd""), None)","('fruit', 1)","(('and', ""unfather'd"", 'fruit'), None)","(';', 0)"
"('and', 1)","(""unfather'd"", None)","('fruit', 1)","((""unfather'd"", 'fruit'), None)","(';', 0)","((""unfather'd"", 'fruit', ';'), None)","('\n', 0)"
"(""unfather'd"", None)","('fruit', 1)","(';', 0)","(('fruit', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('fruit', 1)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('for', 1)","('summer', 2)","(('for', 'summer'), None)","('and', 1)","(('for', 'summer', 'and'), None)","('his', 1)"
"('for', 1)","('summer', 2)","('and', 1)","(('summer', 'and'), None)","('his', 1)","(('summer', 'and', 'his'), None)","('pleasures', 2)"
"('summer', 2)","('and', 1)","('his', 1)","(('and', 'his'), None)","('pleasures', 2)","(('and', 'his', 'pleasures'), None)","('wait', 1)"
"('and', 1)","('his', 1)","('pleasures', 2)","(('his', 'pleasures'), None)","('wait', 1)","(('his', 'pleasures', 'wait'), None)","('on', 1)"
"('his', 1)","('pleasures', 2)","('wait', 1)","(('pleasures', 'wait'), None)","('on', 1)","(('pleasures', 'wait', 'on'), None)","('thee', 1)"
"('pleasures', 2)","('wait', 1)","('on', 1)","(('wait', 'on'), None)","('thee', 1)","(('wait', 'on', 'thee'), None)","(',', 0)"
"('wait', 1)","('on', 1)","('thee', 1)","(('on', 'thee'), None)","(',', 0)","(('on', 'thee', ','), None)","('\n', 0)"
"('on', 1)","('thee', 1)","(',', 0)","(('thee', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thee', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","(',', 0)","(('and', ','), None)","('thou', 1)","(('and', ',', 'thou'), None)","('away', 2)"
"('and', 1)","(',', 0)","('thou', 1)","((',', 'thou'), None)","('away', 2)","((',', 'thou', 'away'), None)","(',', 0)"
"(',', 0)","('thou', 1)","('away', 2)","(('thou', 'away'), None)","(',', 0)","(('thou', 'away', ','), None)","('the', 1)"
"('thou', 1)","('away', 2)","(',', 0)","(('away', ','), None)","('the', 1)","(('away', ',', 'the'), None)","('very', 2)"
"('away', 2)","(',', 0)","('the', 1)","((',', 'the'), None)","('very', 2)","((',', 'the', 'very'), None)","('birds', 1)"
"(',', 0)","('the', 1)","('very', 2)","(('the', 'very'), None)","('birds', 1)","(('the', 'very', 'birds'), None)","('are', 1)"
"('the', 1)","('very', 2)","('birds', 1)","(('very', 'birds'), None)","('are', 1)","(('very', 'birds', 'are'), None)","('mute', 1)"
"('very', 2)","('birds', 1)","('are', 1)","(('birds', 'are'), None)","('mute', 1)","(('birds', 'are', 'mute'), None)","(';', 0)"
"('birds', 1)","('are', 1)","('mute', 1)","(('are', 'mute'), None)","(';', 0)","(('are', 'mute', ';'), None)","('\n', 0)"
"('are', 1)","('mute', 1)","(';', 0)","(('mute', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('mute', 1)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('or', 1)","(',', 0)","(('or', ','), None)","('if', 1)","(('or', ',', 'if'), None)","('they', 1)"
"('or', 1)","(',', 0)","('if', 1)","((',', 'if'), None)","('they', 1)","((',', 'if', 'they'), None)","('sing', 1)"
"(',', 0)","('if', 1)","('they', 1)","(('if', 'they'), None)","('sing', 1)","(('if', 'they', 'sing'), None)","(',', 0)"
"('if', 1)","('they', 1)","('sing', 1)","(('they', 'sing'), None)","(',', 0)","(('they', 'sing', ','), None)","(""'tis"", 1)"
"('they', 1)","('sing', 1)","(',', 0)","(('sing', ','), None)","(""'tis"", 1)","(('sing', ',', ""'tis""), None)","('with', 1)"
"('sing', 1)","(',', 0)","(""'tis"", 1)","((',', ""'tis""), None)","('with', 1)","((',', ""'tis"", 'with'), None)","('so', 1)"
"(',', 0)","(""'tis"", 1)","('with', 1)","((""'tis"", 'with'), None)","('so', 1)","((""'tis"", 'with', 'so'), None)","('dull', 1)"
"(""'tis"", 1)","('with', 1)","('so', 1)","(('with', 'so'), None)","('dull', 1)","(('with', 'so', 'dull'), None)","('a', 1)"
"('with', 1)","('so', 1)","('dull', 1)","(('so', 'dull'), None)","('a', 1)","(('so', 'dull', 'a'), None)","('cheer', 1)"
"('so', 1)","('dull', 1)","('a', 1)","(('dull', 'a'), None)","('cheer', 1)","(('dull', 'a', 'cheer'), None)","('\n', 0)"
"('dull', 1)","('a', 1)","('cheer', 1)","(('a', 'cheer'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('a', 1)","('cheer', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('that', 1)","('leaves', 1)","(('that', 'leaves'), None)","('look', 1)","(('that', 'leaves', 'look'), None)","('pale', 1)"
"('that', 1)","('leaves', 1)","('look', 1)","(('leaves', 'look'), None)","('pale', 1)","(('leaves', 'look', 'pale'), None)","(',', 0)"
"('leaves', 1)","('look', 1)","('pale', 1)","(('look', 'pale'), None)","(',', 0)","(('look', 'pale', ','), None)","('dreading', 2)"
"('look', 1)","('pale', 1)","(',', 0)","(('pale', ','), None)","('dreading', 2)","(('pale', ',', 'dreading'), None)","('the', 1)"
"('pale', 1)","(',', 0)","('dreading', 2)","((',', 'dreading'), None)","('the', 1)","((',', 'dreading', 'the'), None)","(""winter's"", 2)"
"(',', 0)","('dreading', 2)","('the', 1)","(('dreading', 'the'), None)","(""winter's"", 2)","(('dreading', 'the', ""winter's""), None)","('near', 1)"
"('dreading', 2)","('the', 1)","(""winter's"", 2)","(('the', ""winter's""), None)","('near', 1)","(('the', ""winter's"", 'near'), None)","('.', 0)"
"('the', 1)","(""winter's"", 2)","('near', 1)","((""winter's"", 'near'), None)","('.', 0)","((""winter's"", 'near', '.'), None)","('\n', 0)"
"(""winter's"", 2)","('near', 1)","('.', 0)","(('near', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('near', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('from', 1)","('you', 1)","(('from', 'you'), None)","('have', 1)","(('from', 'you', 'have'), None)","('i', 1)"
"('from', 1)","('you', 1)","('have', 1)","(('you', 'have'), None)","('i', 1)","(('you', 'have', 'i'), None)","('been', 1)"
"('you', 1)","('have', 1)","('i', 1)","(('have', 'i'), None)","('been', 1)","(('have', 'i', 'been'), None)","('absent', 2)"
"('have', 1)","('i', 1)","('been', 1)","(('i', 'been'), None)","('absent', 2)","(('i', 'been', 'absent'), None)","('in', 1)"
"('i', 1)","('been', 1)","('absent', 2)","(('been', 'absent'), None)","('in', 1)","(('been', 'absent', 'in'), None)","('the', 1)"
"('been', 1)","('absent', 2)","('in', 1)","(('absent', 'in'), None)","('the', 1)","(('absent', 'in', 'the'), None)","('spring', 1)"
"('absent', 2)","('in', 1)","('the', 1)","(('in', 'the'), None)","('spring', 1)","(('in', 'the', 'spring'), None)","(',', 0)"
"('in', 1)","('the', 1)","('spring', 1)","(('the', 'spring'), None)","(',', 0)","(('the', 'spring', ','), None)","('\n', 0)"
"('the', 1)","('spring', 1)","(',', 0)","(('spring', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('spring', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('when', 1)","('proud', 1)","(('when', 'proud'), None)","('-', 0)","(('when', 'proud', '-'), None)","('pied', 1)"
"('when', 1)","('proud', 1)","('-', 0)","(('proud', '-'), None)","('pied', 1)","(('proud', '-', 'pied'), None)","('april', 2)"
"('proud', 1)","('-', 0)","('pied', 1)","(('-', 'pied'), None)","('april', 2)","(('-', 'pied', 'april'), None)","(""dress'd"", None)"
"('-', 0)","('pied', 1)","('april', 2)","(('pied', 'april'), None)","(""dress'd"", None)","(('pied', 'april', ""dress'd""), None)","('in', 1)"
"('pied', 1)","('april', 2)","(""dress'd"", None)","(('april', ""dress'd""), None)","('in', 1)","(('april', ""dress'd"", 'in'), None)","('all', 1)"
"('april', 2)","(""dress'd"", None)","('in', 1)","((""dress'd"", 'in'), None)","('all', 1)","((""dress'd"", 'in', 'all'), None)","('his', 1)"
"(""dress'd"", None)","('in', 1)","('all', 1)","(('in', 'all'), None)","('his', 1)","(('in', 'all', 'his'), None)","('trim', 1)"
"('in', 1)","('all', 1)","('his', 1)","(('all', 'his'), None)","('trim', 1)","(('all', 'his', 'trim'), None)","('\n', 0)"
"('all', 1)","('his', 1)","('trim', 1)","(('his', 'trim'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('his', 1)","('trim', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('hath', 1)","('put', 1)","(('hath', 'put'), None)","('a', 1)","(('hath', 'put', 'a'), None)","('spirit', 2)"
"('hath', 1)","('put', 1)","('a', 1)","(('put', 'a'), None)","('spirit', 2)","(('put', 'a', 'spirit'), None)","('of', 1)"
"('put', 1)","('a', 1)","('spirit', 2)","(('a', 'spirit'), None)","('of', 1)","(('a', 'spirit', 'of'), None)","('youth', 1)"
"('a', 1)","('spirit', 2)","('of', 1)","(('spirit', 'of'), None)","('youth', 1)","(('spirit', 'of', 'youth'), None)","('in', 1)"
"('spirit', 2)","('of', 1)","('youth', 1)","(('of', 'youth'), None)","('in', 1)","(('of', 'youth', 'in'), None)","('every', 3)"
"('of', 1)","('youth', 1)","('in', 1)","(('youth', 'in'), None)","('every', 3)","(('youth', 'in', 'every'), None)","('thing', 1)"
"('youth', 1)","('in', 1)","('every', 3)","(('in', 'every'), None)","('thing', 1)","(('in', 'every', 'thing'), None)","(',', 0)"
"('in', 1)","('every', 3)","('thing', 1)","(('every', 'thing'), None)","(',', 0)","(('every', 'thing', ','), None)","('\n', 0)"
"('every', 3)","('thing', 1)","(',', 0)","(('thing', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thing', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('that', 1)","('heavy', 2)","(('that', 'heavy'), None)","('saturn', 2)","(('that', 'heavy', 'saturn'), None)","(""laugh'd"", None)"
"('that', 1)","('heavy', 2)","('saturn', 2)","(('heavy', 'saturn'), None)","(""laugh'd"", None)","(('heavy', 'saturn', ""laugh'd""), None)","('and', 1)"
"('heavy', 2)","('saturn', 2)","(""laugh'd"", None)","(('saturn', ""laugh'd""), None)","('and', 1)","(('saturn', ""laugh'd"", 'and'), None)","(""leap'd"", None)"
"('saturn', 2)","(""laugh'd"", None)","('and', 1)","((""laugh'd"", 'and'), None)","(""leap'd"", None)","((""laugh'd"", 'and', ""leap'd""), None)","('with', 1)"
"(""laugh'd"", None)","('and', 1)","(""leap'd"", None)","(('and', ""leap'd""), None)","('with', 1)","(('and', ""leap'd"", 'with'), None)","('him', 1)"
"('and', 1)","(""leap'd"", None)","('with', 1)","((""leap'd"", 'with'), None)","('him', 1)","((""leap'd"", 'with', 'him'), None)","('.', 0)"
"(""leap'd"", None)","('with', 1)","('him', 1)","(('with', 'him'), None)","('.', 0)","(('with', 'him', '.'), None)","('\n', 0)"
"('with', 1)","('him', 1)","('.', 0)","(('him', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('him', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('yet', 1)","('nor', 1)","(('yet', 'nor'), None)","('the', 1)","(('yet', 'nor', 'the'), None)","('lays', 1)"
"('yet', 1)","('nor', 1)","('the', 1)","(('nor', 'the'), None)","('lays', 1)","(('nor', 'the', 'lays'), None)","('of', 1)"
"('nor', 1)","('the', 1)","('lays', 1)","(('the', 'lays'), None)","('of', 1)","(('the', 'lays', 'of'), None)","('birds', 1)"
"('the', 1)","('lays', 1)","('of', 1)","(('lays', 'of'), None)","('birds', 1)","(('lays', 'of', 'birds'), None)","('nor', 1)"
"('lays', 1)","('of', 1)","('birds', 1)","(('of', 'birds'), None)","('nor', 1)","(('of', 'birds', 'nor'), None)","('the', 1)"
"('of', 1)","('birds', 1)","('nor', 1)","(('birds', 'nor'), None)","('the', 1)","(('birds', 'nor', 'the'), None)","('sweet', 1)"
"('birds', 1)","('nor', 1)","('the', 1)","(('nor', 'the'), None)","('sweet', 1)","(('nor', 'the', 'sweet'), None)","('smell', 1)"
"('nor', 1)","('the', 1)","('sweet', 1)","(('the', 'sweet'), None)","('smell', 1)","(('the', 'sweet', 'smell'), None)","('\n', 0)"
"('the', 1)","('sweet', 1)","('smell', 1)","(('sweet', 'smell'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('sweet', 1)","('smell', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('of', 1)","('different', 3)","(('of', 'different'), None)","('flowers', 2)","(('of', 'different', 'flowers'), None)","('in', 1)"
"('of', 1)","('different', 3)","('flowers', 2)","(('different', 'flowers'), None)","('in', 1)","(('different', 'flowers', 'in'), None)","('odour', 2)"
"('different', 3)","('flowers', 2)","('in', 1)","(('flowers', 'in'), None)","('odour', 2)","(('flowers', 'in', 'odour'), None)","('and', 1)"
"('flowers', 2)","('in', 1)","('odour', 2)","(('in', 'odour'), None)","('and', 1)","(('in', 'odour', 'and'), None)","('in', 1)"
"('in', 1)","('odour', 2)","('and', 1)","(('odour', 'and'), None)","('in', 1)","(('odour', 'and', 'in'), None)","('hue', 1)"
"('odour', 2)","('and', 1)","('in', 1)","(('and', 'in'), None)","('hue', 1)","(('and', 'in', 'hue'), None)","('\n', 0)"
"('and', 1)","('in', 1)","('hue', 1)","(('in', 'hue'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('in', 1)","('hue', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('could', 1)","('make', 1)","(('could', 'make'), None)","('me', 1)","(('could', 'make', 'me'), None)","('any', 2)"
"('could', 1)","('make', 1)","('me', 1)","(('make', 'me'), None)","('any', 2)","(('make', 'me', 'any'), None)","(""summer's"", 2)"
"('make', 1)","('me', 1)","('any', 2)","(('me', 'any'), None)","(""summer's"", 2)","(('me', 'any', ""summer's""), None)","('story', 2)"
"('me', 1)","('any', 2)","(""summer's"", 2)","(('any', ""summer's""), None)","('story', 2)","(('any', ""summer's"", 'story'), None)","('tell', 1)"
"('any', 2)","(""summer's"", 2)","('story', 2)","((""summer's"", 'story'), None)","('tell', 1)","((""summer's"", 'story', 'tell'), None)","(',', 0)"
"(""summer's"", 2)","('story', 2)","('tell', 1)","(('story', 'tell'), None)","(',', 0)","(('story', 'tell', ','), None)","('\n', 0)"
"('story', 2)","('tell', 1)","(',', 0)","(('tell', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('tell', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('or', 1)","('from', 1)","(('or', 'from'), None)","('their', 1)","(('or', 'from', 'their'), None)","('proud', 1)"
"('or', 1)","('from', 1)","('their', 1)","(('from', 'their'), None)","('proud', 1)","(('from', 'their', 'proud'), None)","('lap', 1)"
"('from', 1)","('their', 1)","('proud', 1)","(('their', 'proud'), None)","('lap', 1)","(('their', 'proud', 'lap'), None)","('pluck', 1)"
"('their', 1)","('proud', 1)","('lap', 1)","(('proud', 'lap'), None)","('pluck', 1)","(('proud', 'lap', 'pluck'), None)","('them', 1)"
"('proud', 1)","('lap', 1)","('pluck', 1)","(('lap', 'pluck'), None)","('them', 1)","(('lap', 'pluck', 'them'), None)","('where', 1)"
"('lap', 1)","('pluck', 1)","('them', 1)","(('pluck', 'them'), None)","('where', 1)","(('pluck', 'them', 'where'), None)","('they', 1)"
"('pluck', 1)","('them', 1)","('where', 1)","(('them', 'where'), None)","('they', 1)","(('them', 'where', 'they'), None)","('grew', 1)"
"('them', 1)","('where', 1)","('they', 1)","(('where', 'they'), None)","('grew', 1)","(('where', 'they', 'grew'), None)","(';', 0)"
"('where', 1)","('they', 1)","('grew', 1)","(('they', 'grew'), None)","(';', 0)","(('they', 'grew', ';'), None)","('\n', 0)"
"('they', 1)","('grew', 1)","(';', 0)","(('grew', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('grew', 1)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('nor', 1)","('did', 1)","(('nor', 'did'), None)","('i', 1)","(('nor', 'did', 'i'), None)","('wonder', 2)"
"('nor', 1)","('did', 1)","('i', 1)","(('did', 'i'), None)","('wonder', 2)","(('did', 'i', 'wonder'), None)","('at', 1)"
"('did', 1)","('i', 1)","('wonder', 2)","(('i', 'wonder'), None)","('at', 1)","(('i', 'wonder', 'at'), None)","('the', 1)"
"('i', 1)","('wonder', 2)","('at', 1)","(('wonder', 'at'), None)","('the', 1)","(('wonder', 'at', 'the'), None)","(""lily's"", 2)"
"('wonder', 2)","('at', 1)","('the', 1)","(('at', 'the'), None)","(""lily's"", 2)","(('at', 'the', ""lily's""), None)","('white', 1)"
"('at', 1)","('the', 1)","(""lily's"", 2)","(('the', ""lily's""), None)","('white', 1)","(('the', ""lily's"", 'white'), None)","(',', 0)"
"('the', 1)","(""lily's"", 2)","('white', 1)","((""lily's"", 'white'), None)","(',', 0)","((""lily's"", 'white', ','), None)","('\n', 0)"
"(""lily's"", 2)","('white', 1)","(',', 0)","(('white', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('white', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('nor', 1)","('praise', 1)","(('nor', 'praise'), None)","('the', 1)","(('nor', 'praise', 'the'), None)","('deep', 1)"
"('nor', 1)","('praise', 1)","('the', 1)","(('praise', 'the'), None)","('deep', 1)","(('praise', 'the', 'deep'), None)","('vermilion', 3)"
"('praise', 1)","('the', 1)","('deep', 1)","(('the', 'deep'), None)","('vermilion', 3)","(('the', 'deep', 'vermilion'), None)","('in', 1)"
"('the', 1)","('deep', 1)","('vermilion', 3)","(('deep', 'vermilion'), None)","('in', 1)","(('deep', 'vermilion', 'in'), None)","('the', 1)"
"('deep', 1)","('vermilion', 3)","('in', 1)","(('vermilion', 'in'), None)","('the', 1)","(('vermilion', 'in', 'the'), None)","('rose', 1)"
"('vermilion', 3)","('in', 1)","('the', 1)","(('in', 'the'), None)","('rose', 1)","(('in', 'the', 'rose'), None)","(';', 0)"
"('in', 1)","('the', 1)","('rose', 1)","(('the', 'rose'), None)","(';', 0)","(('the', 'rose', ';'), None)","('\n', 0)"
"('the', 1)","('rose', 1)","(';', 0)","(('rose', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('rose', 1)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('they', 1)","('were', 1)","(('they', 'were'), None)","('but', 1)","(('they', 'were', 'but'), None)","('sweet', 1)"
"('they', 1)","('were', 1)","('but', 1)","(('were', 'but'), None)","('sweet', 1)","(('were', 'but', 'sweet'), None)","(',', 0)"
"('were', 1)","('but', 1)","('sweet', 1)","(('but', 'sweet'), None)","(',', 0)","(('but', 'sweet', ','), None)","('but', 1)"
"('but', 1)","('sweet', 1)","(',', 0)","(('sweet', ','), None)","('but', 1)","(('sweet', ',', 'but'), None)","('figures', 2)"
"('sweet', 1)","(',', 0)","('but', 1)","((',', 'but'), None)","('figures', 2)","((',', 'but', 'figures'), None)","('of', 1)"
"(',', 0)","('but', 1)","('figures', 2)","(('but', 'figures'), None)","('of', 1)","(('but', 'figures', 'of'), None)","('delight', 2)"
"('but', 1)","('figures', 2)","('of', 1)","(('figures', 'of'), None)","('delight', 2)","(('figures', 'of', 'delight'), None)","(',', 0)"
"('figures', 2)","('of', 1)","('delight', 2)","(('of', 'delight'), None)","(',', 0)","(('of', 'delight', ','), None)","('\n', 0)"
"('of', 1)","('delight', 2)","(',', 0)","(('delight', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('delight', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('drawn', 1)","('after', 2)","(('drawn', 'after'), None)","('you', 1)","(('drawn', 'after', 'you'), None)","(',', 0)"
"('drawn', 1)","('after', 2)","('you', 1)","(('after', 'you'), None)","(',', 0)","(('after', 'you', ','), None)","('you', 1)"
"('after', 2)","('you', 1)","(',', 0)","(('you', ','), None)","('you', 1)","(('you', ',', 'you'), None)","('pattern', 2)"
"('you', 1)","(',', 0)","('you', 1)","((',', 'you'), None)","('pattern', 2)","((',', 'you', 'pattern'), None)","('of', 1)"
"(',', 0)","('you', 1)","('pattern', 2)","(('you', 'pattern'), None)","('of', 1)","(('you', 'pattern', 'of'), None)","('all', 1)"
"('you', 1)","('pattern', 2)","('of', 1)","(('pattern', 'of'), None)","('all', 1)","(('pattern', 'of', 'all'), None)","('those', 1)"
"('pattern', 2)","('of', 1)","('all', 1)","(('of', 'all'), None)","('those', 1)","(('of', 'all', 'those'), None)","('.', 0)"
"('of', 1)","('all', 1)","('those', 1)","(('all', 'those'), None)","('.', 0)","(('all', 'those', '.'), None)","('\n', 0)"
"('all', 1)","('those', 1)","('.', 0)","(('those', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('those', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('yet', 1)","(""seem'd"", None)","(('yet', ""seem'd""), None)","('it', 1)","(('yet', ""seem'd"", 'it'), None)","('winter', 2)"
"('yet', 1)","(""seem'd"", None)","('it', 1)","((""seem'd"", 'it'), None)","('winter', 2)","((""seem'd"", 'it', 'winter'), None)","('still', 1)"
"(""seem'd"", None)","('it', 1)","('winter', 2)","(('it', 'winter'), None)","('still', 1)","(('it', 'winter', 'still'), None)","(',', 0)"
"('it', 1)","('winter', 2)","('still', 1)","(('winter', 'still'), None)","(',', 0)","(('winter', 'still', ','), None)","('and', 1)"
"('winter', 2)","('still', 1)","(',', 0)","(('still', ','), None)","('and', 1)","(('still', ',', 'and'), None)","(',', 0)"
"('still', 1)","(',', 0)","('and', 1)","((',', 'and'), None)","(',', 0)","((',', 'and', ','), None)","('you', 1)"
"(',', 0)","('and', 1)","(',', 0)","(('and', ','), None)","('you', 1)","(('and', ',', 'you'), None)","('away', 2)"
"('and', 1)","(',', 0)","('you', 1)","((',', 'you'), None)","('away', 2)","((',', 'you', 'away'), None)","(',', 0)"
"(',', 0)","('you', 1)","('away', 2)","(('you', 'away'), None)","(',', 0)","(('you', 'away', ','), None)","('\n', 0)"
"('you', 1)","('away', 2)","(',', 0)","(('away', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('away', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('as', 1)","('with', 1)","(('as', 'with'), None)","('your', 1)","(('as', 'with', 'your'), None)","('shadow', 2)"
"('as', 1)","('with', 1)","('your', 1)","(('with', 'your'), None)","('shadow', 2)","(('with', 'your', 'shadow'), None)","('i', 1)"
"('with', 1)","('your', 1)","('shadow', 2)","(('your', 'shadow'), None)","('i', 1)","(('your', 'shadow', 'i'), None)","('with', 1)"
"('your', 1)","('shadow', 2)","('i', 1)","(('shadow', 'i'), None)","('with', 1)","(('shadow', 'i', 'with'), None)","('these', 1)"
"('shadow', 2)","('i', 1)","('with', 1)","(('i', 'with'), None)","('these', 1)","(('i', 'with', 'these'), None)","('did', 1)"
"('i', 1)","('with', 1)","('these', 1)","(('with', 'these'), None)","('did', 1)","(('with', 'these', 'did'), None)","('play', 1)"
"('with', 1)","('these', 1)","('did', 1)","(('these', 'did'), None)","('play', 1)","(('these', 'did', 'play'), None)","(':', None)"
"('these', 1)","('did', 1)","('play', 1)","(('did', 'play'), None)","(':', None)","(('did', 'play', ':'), None)","('\n', 0)"
"('did', 1)","('play', 1)","(':', None)","(('play', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('play', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('the', 1)","('forward', 2)","(('the', 'forward'), None)","('violet', 3)","(('the', 'forward', 'violet'), None)","('thus', 1)"
"('the', 1)","('forward', 2)","('violet', 3)","(('forward', 'violet'), None)","('thus', 1)","(('forward', 'violet', 'thus'), None)","('did', 1)"
"('forward', 2)","('violet', 3)","('thus', 1)","(('violet', 'thus'), None)","('did', 1)","(('violet', 'thus', 'did'), None)","('i', 1)"
"('violet', 3)","('thus', 1)","('did', 1)","(('thus', 'did'), None)","('i', 1)","(('thus', 'did', 'i'), None)","('chide', 1)"
"('thus', 1)","('did', 1)","('i', 1)","(('did', 'i'), None)","('chide', 1)","(('did', 'i', 'chide'), None)","(':', None)"
"('did', 1)","('i', 1)","('chide', 1)","(('i', 'chide'), None)","(':', None)","(('i', 'chide', ':'), None)","('\n', 0)"
"('i', 1)","('chide', 1)","(':', None)","(('chide', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('chide', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('sweet', 1)","('thief', 1)","(('sweet', 'thief'), None)","(',', 0)","(('sweet', 'thief', ','), None)","('whence', 1)"
"('sweet', 1)","('thief', 1)","(',', 0)","(('thief', ','), None)","('whence', 1)","(('thief', ',', 'whence'), None)","('didst', None)"
"('thief', 1)","(',', 0)","('whence', 1)","((',', 'whence'), None)","('didst', None)","((',', 'whence', 'didst'), None)","('thou', 1)"
"(',', 0)","('whence', 1)","('didst', None)","(('whence', 'didst'), None)","('thou', 1)","(('whence', 'didst', 'thou'), None)","('steal', 1)"
"('whence', 1)","('didst', None)","('thou', 1)","(('didst', 'thou'), None)","('steal', 1)","(('didst', 'thou', 'steal'), None)","('thy', 1)"
