title,line number,line
Sonnet LXXI,6,That I in your sweet thoughts would be forgot
Sonnet LXXI,7,If thinking on me then should make you woe.
Sonnet LXXI,8,"O, if, I say, you look upon this verse"
Sonnet LXXI,9,"When I perhaps compounded am with clay,"
Sonnet LXXI,10,Do not so much as my poor name rehearse.
Sonnet LXXI,11,"But let your love even with my life decay,"
Sonnet LXXI,12,  Lest the wise world should look into your moan
Sonnet LXXI,13,  And mock you with me after I am gone.
Sonnet LXXII,0,"O, lest the world should task you to recite"
Sonnet LXXII,1,"What merit lived in me, that you should love"
Sonnet LXXII,2,"After my death, dear love, forget me quite,"
Sonnet LXXII,3,For you in me can nothing worthy prove;
Sonnet LXXII,4,"Unless you would devise some virtuous lie,"
Sonnet LXXII,5,"To do more for me than mine own desert,"
Sonnet LXXII,6,And hang more praise upon deceased I
Sonnet LXXII,7,Than niggard truth would willingly impart:
Sonnet LXXII,8,"O, lest your true love may seem false in this,"
Sonnet LXXII,9,"That you for love speak well of me untrue,"
Sonnet LXXII,10,"My name be buried where my body is,"
Sonnet LXXII,11,And live no more to shame nor me nor you.
Sonnet LXXII,12,"  For I am shamed by that which I bring forth,"
Sonnet LXXII,13,"  And so should you, to love things nothing worth."
Sonnet LXXIII,0,That time of year thou mayst in me behold
Sonnet LXXIII,1,"When yellow leaves, or none, or few, do hang"
Sonnet LXXIII,2,"Upon those boughs which shake against the cold,"
Sonnet LXXIII,3,"Bare ruin'd choirs, where late the sweet birds sang."
Sonnet LXXIII,4,In me thou seest the twilight of such day
Sonnet LXXIII,5,"As after sunset fadeth in the west,"
Sonnet LXXIII,6,"Which by and by black night doth take away,"
Sonnet LXXIII,7,"Death's second self, that seals up all in rest."
Sonnet LXXIII,8,In me thou see'st the glowing of such fire
Sonnet LXXIII,9,"That on the ashes of his youth doth lie,"
Sonnet LXXIII,10,As the death-bed whereon it must expire
Sonnet LXXIII,11,Consumed with that which it was nourish'd by.
Sonnet LXXIII,12,"  This thou perceivest, which makes thy love more strong,"
Sonnet LXXIII,13,  To love that well which thou must leave ere long.
Sonnet LXXIV,0,But be contented: when that fell arrest
Sonnet LXXIV,1,"Without all bail shall carry me away,"
Sonnet LXXIV,2,"My life hath in this line some interest,"
Sonnet LXXIV,3,Which for memorial still with thee shall stay.
Sonnet LXXIV,4,"When thou reviewest this, thou dost review"
Sonnet LXXIV,5,The very part was consecrate to thee:
Sonnet LXXIV,6,"The earth can have but earth, which is his due;"
Sonnet LXXIV,7,"My spirit is thine, the better part of me:"
Sonnet LXXIV,8,"So then thou hast but lost the dregs of life,"
Sonnet LXXIV,9,"The prey of worms, my body being dead,"
Sonnet LXXIV,10,"The coward conquest of a wretch's knife,"
Sonnet LXXIV,11,Too base of thee to be remembered.
Sonnet LXXIV,12,"  The worth of that is that which it contains,"
Sonnet LXXIV,13,"  And that is this, and this with thee remains."
Sonnet LXXV,0,"So are you to my thoughts as food to life,"
Sonnet LXXV,1,Or as sweet-season'd showers are to the ground;
Sonnet LXXV,2,And for the peace of you I hold such strife
Sonnet LXXV,3,As 'twixt a miser and his wealth is found;
Sonnet LXXV,4,Now proud as an enjoyer and anon
Sonnet LXXV,5,"Doubting the filching age will steal his treasure,"
Sonnet LXXV,6,"Now counting best to be with you alone,"
Sonnet LXXV,7,Then better'd that the world may see my pleasure;
Sonnet LXXV,8,Sometime all full with feasting on your sight
Sonnet LXXV,9,And by and by clean starved for a look;
Sonnet LXXV,10,"Possessing or pursuing no delight,"
Sonnet LXXV,11,Save what is had or must from you be took.
Sonnet LXXV,12,"  Thus do I pine and surfeit day by day,"
Sonnet LXXV,13,"  Or gluttoning on all, or all away."
Sonnet LXXVI,0,"Why is my verse so barren of new pride,"
Sonnet LXXVI,1,So far from variation or quick change?
Sonnet LXXVI,2,Why with the time do I not glance aside
Sonnet LXXVI,3,To new-found methods and to compounds strange?
Sonnet LXXVI,4,"Why write I still all one, ever the same,"
Sonnet LXXVI,5,"And keep invention in a noted weed,"
Sonnet LXXVI,6,"That every word doth almost tell my name,"
Sonnet LXXVI,7,Showing their birth and where they did proceed?
Sonnet LXXVI,8,"O, know, sweet love, I always write of you,"
Sonnet LXXVI,9,And you and love are still my argument;
Sonnet LXXVI,10,"So all my best is dressing old words new,"
Sonnet LXXVI,11,Spending again what is already spent:
Sonnet LXXVI,12,"  For as the sun is daily new and old,"
Sonnet LXXVI,13,  So is my love still telling what is told.
Sonnet LXXVII,0,"Thy glass will show thee how thy beauties wear,"
Sonnet LXXVII,1,Thy dial how thy precious minutes waste;
Sonnet LXXVII,2,"The vacant leaves thy mind's imprint will bear,"
Sonnet LXXVII,3,And of this book this learning mayst thou taste.
Sonnet LXXVII,4,The wrinkles which thy glass will truly show
Sonnet LXXVII,5,Of mouthed graves will give thee memory;
Sonnet LXXVII,6,Thou by thy dial's shady stealth mayst know
Sonnet LXXVII,7,Time's thievish progress to eternity.
Sonnet LXXVII,8,"Look, what thy memory can not contain"
Sonnet LXXVII,9,"Commit to these waste blanks, and thou shalt find"
Sonnet LXXVII,10,"Those children nursed, deliver'd from thy brain,"
Sonnet LXXVII,11,To take a new acquaintance of thy mind.
Sonnet LXXVII,12,"  These offices, so oft as thou wilt look,"
Sonnet LXXVII,13,  Shall profit thee and much enrich thy book.
Sonnet LXXVIII,0,So oft have I invoked thee for my Muse
Sonnet LXXVIII,1,And found such fair assistance in my verse
Sonnet LXXVIII,2,As every alien pen hath got my use
Sonnet LXXVIII,3,And under thee their poesy disperse.
Sonnet LXXVIII,4,Thine eyes that taught the dumb on high to sing
Sonnet LXXVIII,5,And heavy ignorance aloft to fly
Sonnet LXXVIII,6,Have added feathers to the learned's wing
Sonnet LXXVIII,7,And given grace a double majesty.
Sonnet LXXVIII,8,"Yet be most proud of that which I compile,"
Sonnet LXXVIII,9,Whose influence is thine and born of thee:
Sonnet LXXVIII,10,"In others' works thou dost but mend the style,"
Sonnet LXXVIII,11,And arts with thy sweet graces graced be;
Sonnet LXXVIII,12,  But thou art all my art and dost advance
Sonnet LXXVIII,13,  As high as learning my rude ignorance.
Sonnet LXXIX,0,"Whilst I alone did call upon thy aid,"
Sonnet LXXIX,1,"My verse alone had all thy gentle grace,"
Sonnet LXXIX,2,But now my gracious numbers are decay'd
Sonnet LXXIX,3,And my sick Muse doth give another place.
Sonnet LXXIX,4,"I grant, sweet love, thy lovely argument"
Sonnet LXXIX,5,"Deserves the travail of a worthier pen,"
Sonnet LXXIX,6,Yet what of thee thy poet doth invent
Sonnet LXXIX,7,He robs thee of and pays it thee again.
Sonnet LXXIX,8,He lends thee virtue and he stole that word
Sonnet LXXIX,9,From thy behavior; beauty doth he give
Sonnet LXXIX,10,And found it in thy cheek; he can afford
Sonnet LXXIX,11,No praise to thee but what in thee doth live.
Sonnet LXXIX,12,"  Then thank him not for that which he doth say,"
Sonnet LXXIX,13,  Since what he owes thee thou thyself dost pay.
Sonnet LXXX,0,"O, how I faint when I of you do write,"
Sonnet LXXX,1,"Knowing a better spirit doth use your name,"
Sonnet LXXX,2,"And in the praise thereof spends all his might,"
Sonnet LXXX,3,"To make me tongue-tied, speaking of your fame!"
Sonnet LXXX,4,"But since your worth, wide as the ocean is,"
Sonnet LXXX,5,"The humble as the proudest sail doth bear,"
Sonnet LXXX,6,My saucy bark inferior far to his
Sonnet LXXX,7,On your broad main doth wilfully appear.
Sonnet LXXX,8,"Your shallowest help will hold me up afloat,"
Sonnet LXXX,9,Whilst he upon your soundless deep doth ride;
Sonnet LXXX,10,"Or being wreck'd, I am a worthless boat,"
Sonnet LXXX,11,He of tall building and of goodly pride:
Sonnet LXXX,12,"  Then if he thrive and I be cast away,"
Sonnet LXXX,13,  The worst was this; my love was my decay.
Sonnet LXXXI,0,"Or I shall live your epitaph to make,"
Sonnet LXXXI,1,Or you survive when I in earth am rotten;
Sonnet LXXXI,2,"From hence your memory death cannot take,"
Sonnet LXXXI,3,Although in me each part will be forgotten.
Sonnet LXXXI,4,"Your name from hence immortal life shall have,"
Sonnet LXXXI,5,"Though I, once gone, to all the world must die:"
Sonnet LXXXI,6,"The earth can yield me but a common grave,"
Sonnet LXXXI,7,When you entombed in men's eyes shall lie.
Sonnet LXXXI,8,"Your monument shall be my gentle verse,"
Sonnet LXXXI,9,"Which eyes not yet created shall o'er-read,"
Sonnet LXXXI,10,And tongues to be your being shall rehearse
Sonnet LXXXI,11,When all the breathers of this world are dead;
Sonnet LXXXI,12,  You still shall live--such virtue hath my pen--
Sonnet LXXXI,13,"  Where breath most breathes, even in the mouths of men."
Sonnet LXXXII,0,I grant thou wert not married to my Muse
Sonnet LXXXII,1,And therefore mayst without attaint o'erlook
Sonnet LXXXII,2,The dedicated words which writers use
Sonnet LXXXII,3,"Of their fair subject, blessing every book"
Sonnet LXXXII,4,"Thou art as fair in knowledge as in hue,"
Sonnet LXXXII,5,"Finding thy worth a limit past my praise,"
Sonnet LXXXII,6,And therefore art enforced to seek anew
Sonnet LXXXII,7,Some fresher stamp of the time-bettering days
Sonnet LXXXII,8,"And do so, love; yet when they have devised"
Sonnet LXXXII,9,"What strained touches rhetoric can lend,"
Sonnet LXXXII,10,Thou truly fair wert truly sympathized
Sonnet LXXXII,11,In true plain words by thy true-telling friend;
Sonnet LXXXII,12,  And their gross painting might be better used
Sonnet LXXXII,13,  Where cheeks need blood; in thee it is abused.
Sonnet LXXXIII,0,I never saw that you did painting need
Sonnet LXXXIII,1,And therefore to your fair no painting set;
Sonnet LXXXIII,2,"I found, or thought I found, you did exceed"
Sonnet LXXXIII,3,The barren tender of a poet's debt;
Sonnet LXXXIII,4,"And therefore have I slept in your report,"
Sonnet LXXXIII,5,That you yourself being extant well might show
Sonnet LXXXIII,6,"How far a modern quill doth come too short,"
Sonnet LXXXIII,7,"Speaking of worth, what worth in you doth grow."
Sonnet LXXXIII,8,"This silence for my sin you did impute,"
Sonnet LXXXIII,9,"Which shall be most my glory, being dumb;"
Sonnet LXXXIII,10,"For I impair not beauty being mute,"
Sonnet LXXXIII,11,When others would give life and bring a tomb.
Sonnet LXXXIII,12,  There lives more life in one of your fair eyes
Sonnet LXXXIII,13,  Than both your poets can in praise devise.
Sonnet LXXXIV,0,Who is it that says most? which can say more
Sonnet LXXXIV,1,"Than this rich praise, that you alone are you?"
Sonnet LXXXIV,2,In whose confine immured is the store
Sonnet LXXXIV,3,Which should example where your equal grew.
Sonnet LXXXIV,4,Lean penury within that pen doth dwell
Sonnet LXXXIV,5,That to his subject lends not some small glory;
Sonnet LXXXIV,6,"But he that writes of you, if he can tell"
Sonnet LXXXIV,7,"That you are you, so dignifies his story,"
Sonnet LXXXIV,8,"Let him but copy what in you is writ,"
Sonnet LXXXIV,9,"Not making worse what nature made so clear,"
Sonnet LXXXIV,10,"And such a counterpart shall fame his wit,"
Sonnet LXXXIV,11,Making his style admired every where.
Sonnet LXXXIV,12,"  You to your beauteous blessings add a curse,"
Sonnet LXXXIV,13,"  Being fond on praise, which makes your praises worse."
Sonnet LXXXV,0,"My tongue-tied Muse in manners holds her still,"
Sonnet LXXXV,1,"While comments of your praise, richly compiled,"
Sonnet LXXXV,2,Reserve their character with golden quill
Sonnet LXXXV,3,And precious phrase by all the Muses filed.
Sonnet LXXXV,4,"I think good thoughts whilst other write good words,"
Sonnet LXXXV,5,And like unletter'd clerk still cry 'Amen'
Sonnet LXXXV,6,To every hymn that able spirit affords
Sonnet LXXXV,7,In polish'd form of well-refined pen.
Sonnet LXXXV,8,"Hearing you praised, I say ''Tis so, 'tis true,'"
Sonnet LXXXV,9,And to the most of praise add something more;
Sonnet LXXXV,10,"But that is in my thought, whose love to you,"
Sonnet LXXXV,11,"Though words come hindmost, holds his rank before."
Sonnet LXXXV,12,"  Then others for the breath of words respect,"
Sonnet LXXXV,13,"  Me for my dumb thoughts, speaking in effect."
Sonnet LXXXVI,0,"Was it the proud full sail of his great verse,"
Sonnet LXXXVI,1,"Bound for the prize of all too precious you,"
Sonnet LXXXVI,2,"That did my ripe thoughts in my brain inhearse,"
Sonnet LXXXVI,3,Making their tomb the womb wherein they grew?
Sonnet LXXXVI,4,"Was it his spirit, by spirits taught to write"
Sonnet LXXXVI,5,"Above a mortal pitch, that struck me dead?"
Sonnet LXXXVI,6,"No, neither he, nor his compeers by night"
Sonnet LXXXVI,7,"Giving him aid, my verse astonished."
Sonnet LXXXVI,8,"He, nor that affable familiar ghost"
Sonnet LXXXVI,9,Which nightly gulls him with intelligence
Sonnet LXXXVI,10,As victors of my silence cannot boast;
Sonnet LXXXVI,11,I was not sick of any fear from thence:
Sonnet LXXXVI,12,"  But when your countenance fill'd up his line,"
Sonnet LXXXVI,13,  Then lack'd I matter; that enfeebled mine.
Sonnet LXXXVII,0,"Farewell! thou art too dear for my possessing,"
Sonnet LXXXVII,1,And like enough thou know'st thy estimate:
Sonnet LXXXVII,2,The charter of thy worth gives thee releasing;
Sonnet LXXXVII,3,My bonds in thee are all determinate.
Sonnet LXXXVII,4,For how do I hold thee but by thy granting?
Sonnet LXXXVII,5,And for that riches where is my deserving?
Sonnet LXXXVII,6,"The cause of this fair gift in me is wanting,"
Sonnet LXXXVII,7,And so my patent back again is swerving.
Sonnet LXXXVII,8,"Thyself thou gavest, thy own worth then not knowing,"
Sonnet LXXXVII,9,"Or me, to whom thou gavest it, else mistaking;"
Sonnet LXXXVII,10,"So thy great gift, upon misprision growing,"
Sonnet LXXXVII,11,"Comes home again, on better judgment making."
Sonnet LXXXVII,12,"  Thus have I had thee, as a dream doth flatter,"
Sonnet LXXXVII,13,"  In sleep a king, but waking no such matter."
Sonnet LXXXVIII,0,"When thou shalt be disposed to set me light,"
Sonnet LXXXVIII,1,"And place my merit in the eye of scorn,"
Sonnet LXXXVIII,2,"Upon thy side against myself I'll fight,"
Sonnet LXXXVIII,3,"And prove thee virtuous, though thou art forsworn."
Sonnet LXXXVIII,4,"With mine own weakness being best acquainted,"
Sonnet LXXXVIII,5,Upon thy part I can set down a story
Sonnet LXXXVIII,6,"Of faults conceal'd, wherein I am attainted,"
Sonnet LXXXVIII,7,That thou in losing me shalt win much glory:
Sonnet LXXXVIII,8,And I by this will be a gainer too;
Sonnet LXXXVIII,9,"For bending all my loving thoughts on thee,"
Sonnet LXXXVIII,10,"The injuries that to myself I do,"
Sonnet LXXXVIII,11,"Doing thee vantage, double-vantage me."
Sonnet LXXXVIII,12,"  Such is my love, to thee I so belong,"
Sonnet LXXXVIII,13,  That for thy right myself will bear all wrong.
Sonnet LXXXIX,0,"Say that thou didst forsake me for some fault,"
Sonnet LXXXIX,1,And I will comment upon that offence;
Sonnet LXXXIX,2,"Speak of my lameness, and I straight will halt,"
Sonnet LXXXIX,3,Against thy reasons making no defence.
Sonnet LXXXIX,4,"Thou canst not, love, disgrace me half so ill,"
Sonnet LXXXIX,5,"To set a form upon desired change,"
Sonnet LXXXIX,6,"As I'll myself disgrace: knowing thy will,"
Sonnet LXXXIX,7,"I will acquaintance strangle and look strange,"
Sonnet LXXXIX,8,"Be absent from thy walks, and in my tongue"
Sonnet LXXXIX,9,"Thy sweet beloved name no more shall dwell,"
Sonnet LXXXIX,10,"Lest I, too much profane, should do it wrong"
Sonnet LXXXIX,11,And haply of our old acquaintance tell.
Sonnet LXXXIX,12,"  For thee against myself I'll vow debate,"
Sonnet LXXXIX,13,  For I must ne'er love him whom thou dost hate.
Sonnet XC,0,"Then hate me when thou wilt; if ever, now;"
Sonnet XC,1,"Now, while the world is bent my deeds to cross,"
Sonnet XC,2,"Join with the spite of fortune, make me bow,"
Sonnet XC,3,And do not drop in for an after-loss:
Sonnet XC,4,"Ah, do not, when my heart hath 'scoped this sorrow,"
Sonnet XC,5,Come in the rearward of a conquer'd woe;
Sonnet XC,6,"Give not a windy night a rainy morrow,"
Sonnet XC,7,To linger out a purposed overthrow.
Sonnet XC,8,"If thou wilt leave me, do not leave me last,"
Sonnet XC,9,When other petty griefs have done their spite
Sonnet XC,10,But in the onset come; so shall I taste
Sonnet XC,11,"At first the very worst of fortune's might,"
Sonnet XC,12,"  And other strains of woe, which now seem woe,"
Sonnet XC,13,  Compared with loss of thee will not seem so.
Sonnet XCI,0,"Some glory in their birth, some in their skill,"
Sonnet XCI,1,"Some in their wealth, some in their bodies' force,"
Sonnet XCI,2,"Some in their garments, though new-fangled ill,"
Sonnet XCI,3,"Some in their hawks and hounds, some in their horse;"
Sonnet XCI,4,"And every humour hath his adjunct pleasure,"
Sonnet XCI,5,Wherein it finds a joy above the rest:
Sonnet XCI,6,But these particulars are not my measure;
Sonnet XCI,7,All these I better in one general best.
Sonnet XCI,8,"Thy love is better than high birth to me,"
Sonnet XCI,9,"Richer than wealth, prouder than garments' cost,"
Sonnet XCI,10,Of more delight than hawks or horses be;
Sonnet XCI,11,"And having thee, of all men's pride I boast:"
Sonnet XCI,12,"  Wretched in this alone, that thou mayst take"
Sonnet XCI,13,  All this away and me most wretched make.
Sonnet XCII,0,"But do thy worst to steal thyself away,"
Sonnet XCII,1,"For term of life thou art assured mine,"
Sonnet XCII,2,"And life no longer than thy love will stay,"
Sonnet XCII,3,For it depends upon that love of thine.
Sonnet XCII,4,"Then need I not to fear the worst of wrongs,"
Sonnet XCII,5,When in the least of them my life hath end.
Sonnet XCII,6,I see a better state to me belongs
Sonnet XCII,7,Than that which on thy humour doth depend;
Sonnet XCII,8,"Thou canst not vex me with inconstant mind,"
Sonnet XCII,9,Since that my life on thy revolt doth lie.
Sonnet XCII,10,"O, what a happy title do I find,"
Sonnet XCII,11,"Happy to have thy love, happy to die!"
Sonnet XCII,12,  But what's so blessed-fair that fears no blot?
Sonnet XCII,13,"  Thou mayst be false, and yet I know it not."
Sonnet XCIII,0,"So shall I live, supposing thou art true,"
Sonnet XCIII,1,Like a deceived husband; so love's face
Sonnet XCIII,2,"May still seem love to me, though alter'd new;"
Sonnet XCIII,3,"Thy looks with me, thy heart in other place:"
Sonnet XCIII,4,"For there can live no hatred in thine eye,"
Sonnet XCIII,5,Therefore in that I cannot know thy change.
Sonnet XCIII,6,In many's looks the false heart's history
Sonnet XCIII,7,"Is writ in moods and frowns and wrinkles strange,"
Sonnet XCIII,8,But heaven in thy creation did decree
Sonnet XCIII,9,That in thy face sweet love should ever dwell;
Sonnet XCIII,10,"Whate'er thy thoughts or thy heart's workings be,"
Sonnet XCIII,11,Thy looks should nothing thence but sweetness tell.
Sonnet XCIII,12,"  How like Eve's apple doth thy beauty grow,"
Sonnet XCIII,13,  if thy sweet virtue answer not thy show!
Sonnet XCIV,0,"They that have power to hurt and will do none,"
Sonnet XCIV,1,"That do not do the thing they most do show,"
Sonnet XCIV,2,"Who, moving others, are themselves as stone,"
Sonnet XCIV,3,"Unmoved, cold, and to temptation slow,"
Sonnet XCIV,4,They rightly do inherit heaven's graces
Sonnet XCIV,5,And husband nature's riches from expense;
Sonnet XCIV,6,"They are the lords and owners of their faces,"
Sonnet XCIV,7,Others but stewards of their excellence.
Sonnet XCIV,8,"The summer's flower is to the summer sweet,"
Sonnet XCIV,9,"Though to itself it only live and die,"
Sonnet XCIV,10,"But if that flower with base infection meet,"
Sonnet XCIV,11,The basest weed outbraves his dignity:
Sonnet XCIV,12,  For sweetest things turn sourest by their deeds;
Sonnet XCIV,13,  Lilies that fester smell far worse than weeds.
Sonnet XCV,0,How sweet and lovely dost thou make the shame
Sonnet XCV,1,"Which, like a canker in the fragrant rose,"
Sonnet XCV,2,Doth spot the beauty of thy budding name!
Sonnet XCV,3,"O, in what sweets dost thou thy sins enclose!"
Sonnet XCV,4,"That tongue that tells the story of thy days,"
Sonnet XCV,5,"Making lascivious comments on thy sport,"
Sonnet XCV,6,Cannot dispraise but in a kind of praise;
Sonnet XCV,7,Naming thy name blesses an ill report.
Sonnet XCV,8,"O, what a mansion have those vices got"
Sonnet XCV,9,"Which for their habitation chose out thee,"
Sonnet XCV,10,"Where beauty's veil doth cover every blot,"
Sonnet XCV,11,And all things turn to fair that eyes can see!
Sonnet XCV,12,"  Take heed, dear heart, of this large privilege;"
Sonnet XCV,13,  The hardest knife ill-used doth lose his edge.
Sonnet XCVI,0,"Some say thy fault is youth, some wantonness;"
Sonnet XCVI,1,Some say thy grace is youth and gentle sport;
Sonnet XCVI,2,Both grace and faults are loved of more and less;
Sonnet XCVI,3,Thou makest faults graces that to thee resort.
Sonnet XCVI,4,As on the finger of a throned queen
Sonnet XCVI,5,"The basest jewel will be well esteem'd,"
Sonnet XCVI,6,So are those errors that in thee are seen
Sonnet XCVI,7,To truths translated and for true things deem'd.
Sonnet XCVI,8,"How many lambs might the stem wolf betray,"
Sonnet XCVI,9,If like a lamb he could his looks translate!
Sonnet XCVI,10,"How many gazers mightst thou lead away,"
Sonnet XCVI,11,If thou wouldst use the strength of all thy state!
Sonnet XCVI,12,  But do not so; I love thee in such sort
Sonnet XCVI,13,"  As, thou being mine, mine is thy good report."
Sonnet XCVII,0,How like a winter hath my absence been
Sonnet XCVII,1,"From thee, the pleasure of the fleeting year!"
Sonnet XCVII,2,"What freezings have I felt, what dark days seen!"
Sonnet XCVII,3,What old December's bareness every where!
Sonnet XCVII,4,"And yet this time removed was summer's time,"
Sonnet XCVII,5,"The teeming autumn, big with rich increase,"
Sonnet XCVII,6,"Bearing the wanton burden of the prime,"
Sonnet XCVII,7,Like widow'd wombs after their lords' decease:
Sonnet XCVII,8,Yet this abundant issue seem'd to me
Sonnet XCVII,9,But hope of orphans and unfather'd fruit;
Sonnet XCVII,10,"For summer and his pleasures wait on thee,"
Sonnet XCVII,11,"And, thou away, the very birds are mute;"
Sonnet XCVII,12,"  Or, if they sing, 'tis with so dull a cheer"
Sonnet XCVII,13,"  That leaves look pale, dreading the winter's near."
Sonnet XCVIII,0,"From you have I been absent in the spring,"
Sonnet XCVIII,1,When proud-pied April dress'd in all his trim
Sonnet XCVIII,2,"Hath put a spirit of youth in every thing,"
Sonnet XCVIII,3,That heavy Saturn laugh'd and leap'd with him.
Sonnet XCVIII,4,Yet nor the lays of birds nor the sweet smell
Sonnet XCVIII,5,Of different flowers in odour and in hue
Sonnet XCVIII,6,"Could make me any summer's story tell,"
Sonnet XCVIII,7,Or from their proud lap pluck them where they grew;
Sonnet XCVIII,8,"Nor did I wonder at the lily's white,"
Sonnet XCVIII,9,Nor praise the deep vermilion in the rose;
Sonnet XCVIII,10,"They were but sweet, but figures of delight,"
Sonnet XCVIII,11,"Drawn after you, you pattern of all those."
Sonnet XCVIII,12,"  Yet seem'd it winter still, and, you away,"
Sonnet XCVIII,13,  As with your shadow I with these did play:
Sonnet XCIX,0,The forward violet thus did I chide:
Sonnet XCIX,1,"Sweet thief, whence didst thou steal thy sweet that smells,"
Sonnet XCIX,2,If not from my love's breath? The purple pride
Sonnet XCIX,3,Which on thy soft cheek for complexion dwells
Sonnet XCIX,4,In my love's veins thou hast too grossly dyed.
Sonnet XCIX,5,"The lily I condemned for thy hand,"
Sonnet XCIX,6,And buds of marjoram had stol'n thy hair:
Sonnet XCIX,7,"The roses fearfully on thorns did stand,"
Sonnet XCIX,8,"One blushing shame, another white despair;"
Sonnet XCIX,9,"A third, nor red nor white, had stol'n of both"
Sonnet XCIX,10,And to his robbery had annex'd thy breath;
Sonnet XCIX,11,"But, for his theft, in pride of all his growth"
Sonnet XCIX,12,A vengeful canker eat him up to death.
Sonnet XCIX,13,"  More flowers I noted, yet I none could see"
Sonnet XCIX,14,  But sweet or colour it had stol'n from thee.
Sonnet C,0,"Where art thou, Muse, that thou forget'st so long"
Sonnet C,1,To speak of that which gives thee all thy might?
Sonnet C,2,"Spend'st thou thy fury on some worthless song,"
Sonnet C,3,Darkening thy power to lend base subjects light?
Sonnet C,4,"Return, forgetful Muse, and straight redeem"
Sonnet C,5,In gentle numbers time so idly spent;
Sonnet C,6,Sing to the ear that doth thy lays esteem
Sonnet C,7,And gives thy pen both skill and argument.
Sonnet C,8,"Rise, resty Muse, my love's sweet face survey,"
Sonnet C,9,If Time have any wrinkle graven there;
Sonnet C,10,"If any, be a satire to decay,"
Sonnet C,11,And make Time's spoils despised every where.
Sonnet C,12,  Give my love fame faster than Time wastes life;
Sonnet C,13,  So thou prevent'st his scythe and crooked knife.
Sonnet CI,0,"O truant Muse, what shall be thy amends"
Sonnet CI,1,For thy neglect of truth in beauty dyed?
Sonnet CI,2,Both truth and beauty on my love depends;
Sonnet CI,3,"So dost thou too, and therein dignified."
Sonnet CI,4,"Make answer, Muse: wilt thou not haply say"
Sonnet CI,5,"'Truth needs no colour, with his colour fix'd;"
Sonnet CI,6,"Beauty no pencil, beauty's truth to lay;"
Sonnet CI,7,"But best is best, if never intermix'd?'"
Sonnet CI,8,"Because he needs no praise, wilt thou be dumb?"
Sonnet CI,9,Excuse not silence so; for't lies in thee
Sonnet CI,10,"To make him much outlive a gilded tomb,"
Sonnet CI,11,And to be praised of ages yet to be.
Sonnet CI,12,"  Then do thy office, Muse; I teach thee how"
Sonnet CI,13,  To make him seem long hence as he shows now.
Sonnet CII,0,"My love is strengthen'd, though more weak in seeming;"
Sonnet CII,1,"I love not less, though less the show appear:"
Sonnet CII,2,That love is merchandized whose rich esteeming
Sonnet CII,3,The owner's tongue doth publish every where.
Sonnet CII,4,Our love was new and then but in the spring
Sonnet CII,5,"When I was wont to greet it with my lays,"
Sonnet CII,6,As Philomel in summer's front doth sing
Sonnet CII,7,And stops her pipe in growth of riper days:
Sonnet CII,8,Not that the summer is less pleasant now
Sonnet CII,9,"Than when her mournful hymns did hush the night,"
Sonnet CII,10,But that wild music burthens every bough
Sonnet CII,11,And sweets grown common lose their dear delight.
Sonnet CII,12,"  Therefore like her I sometime hold my tongue,"
Sonnet CII,13,  Because I would not dull you with my song.
Sonnet CIII,0,"Alack, what poverty my Muse brings forth,"
Sonnet CIII,1,"That having such a scope to show her pride,"
Sonnet CIII,2,The argument all bare is of more worth
Sonnet CIII,3,Than when it hath my added praise beside!
Sonnet CIII,4,"O, blame me not, if I no more can write!"
Sonnet CIII,5,"Look in your glass, and there appears a face"
Sonnet CIII,6,"That over-goes my blunt invention quite,"
Sonnet CIII,7,Dulling my lines and doing me disgrace.
Sonnet CIII,8,"Were it not sinful then, striving to mend,"
Sonnet CIII,9,To mar the subject that before was well?
Sonnet CIII,10,For to no other pass my verses tend
Sonnet CIII,11,Than of your graces and your gifts to tell;
Sonnet CIII,12,"  And more, much more, than in my verse can sit"
Sonnet CIII,13,  Your own glass shows you when you look in it.
Sonnet CIV,0,"To me, fair friend, you never can be old,"
Sonnet CIV,1,"For as you were when first your eye I eyed,"
Sonnet CIV,2,Such seems your beauty still. Three winters cold
Sonnet CIV,3,"Have from the forests shook three summers' pride,"
Sonnet CIV,4,Three beauteous springs to yellow autumn turn'd
Sonnet CIV,5,"In process of the seasons have I seen,"
Sonnet CIV,6,"Three April perfumes in three hot Junes burn'd,"
Sonnet CIV,7,"Since first I saw you fresh, which yet are green."
Sonnet CIV,8,"Ah! yet doth beauty, like a dial-hand,"
Sonnet CIV,9,Steal from his figure and no pace perceived;
Sonnet CIV,10,"So your sweet hue, which methinks still doth stand,"
Sonnet CIV,11,Hath motion and mine eye may be deceived:
Sonnet CIV,12,"  For fear of which, hear this, thou age unbred;"
Sonnet CIV,13,  Ere you were born was beauty's summer dead.
Sonnet CV,0,"Let not my love be call'd idolatry,"
Sonnet CV,1,"Nor my beloved as an idol show,"
Sonnet CV,2,Since all alike my songs and praises be
Sonnet CV,3,"To one, of one, still such, and ever so."
Sonnet CV,4,"Kind is my love to-day, to-morrow kind,"
Sonnet CV,5,Still constant in a wondrous excellence;
Sonnet CV,6,"Therefore my verse to constancy confined,"
Sonnet CV,7,"One thing expressing, leaves out difference."
Sonnet CV,8,"'Fair, kind and true' is all my argument,"
Sonnet CV,9,"'Fair, kind, and true' varying to other words;"
